"Date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czech.Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Romania","Slovak.Republic","Slovenia","Spain","Sweden","Switzerland","United.Kingdom"
"2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-22",0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-23",0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-24",0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-25",0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26",0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-27",0,0,0,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"2020-01-28",0,0,0,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"2020-01-29",0,0,0,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"2020-01-30",0,0,0,0,0,75,0,0,0,25,0,0,0,0,75,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"2020-01-31",0,0,0,0,0,75,0,0,0,25,0,0,0,0,75,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,75,0,0,0,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-02",0,0,0,0,0,75,0,0,0,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-03",0,0,25,0,0,75,0,0,0,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-04",0,0,25,25,0,75,0,0,0,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-05",0,0,25,25,0,75,0,0,0,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-06",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-07",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-08",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-09",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-10",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-11",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-12",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-13",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-14",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-15",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-16",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-17",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-18",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-19",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-20",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-21",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-22",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"2020-02-23",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,25,0,0,0,0,50,0,0,0,0,0,0
"2020-02-24",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,25,0,0,0,0,50,0,0,0,0,0,0
"2020-02-25",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0
"2020-02-26",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0
"2020-02-27",0,0,25,25,0,75,0,0,75,25,0,0,0,0,75,50,0,0,50,0,0,0,0,50,0,0,0,0,0,0
"2020-02-28",0,0,25,25,0,75,0,0,75,25,25,0,0,0,75,50,0,0,50,0,0,0,0,50,0,0,0,0,0,0
"2020-02-29",0,0,25,25,0,75,0,0,75,25,25,0,0,0,75,50,0,0,50,0,0,0,0,50,0,0,0,0,0,0
"2020-03-01",0,0,25,25,0,75,0,0,75,25,25,0,0,0,75,50,0,0,50,0,0,0,0,50,0,0,0,0,0,0
"2020-03-02",0,0,25,25,0,75,0,0,75,25,25,0,0,0,75,50,0,0,50,0,0,0,0,50,0,0,0,75,0,0
"2020-03-03",0,0,25,25,0,75,50,0,75,25,25,0,0,0,75,50,0,0,50,0,0,0,0,50,0,0,0,75,0,0
"2020-03-04",0,25,25,25,0,75,50,0,75,25,25,0,0,0,75,50,0,0,50,0,0,0,0,50,0,0,0,75,0,0
"2020-03-05",0,25,25,25,0,75,50,0,75,25,25,0,0,0,75,50,0,0,50,0,0,0,0,50,0,0,0,75,0,0
"2020-03-06",0,25,25,25,0,75,50,0,75,25,25,0,0,0,75,50,0,0,50,0,0,0,0,50,0,0,0,75,0,0
"2020-03-07",0,25,25,25,0,75,50,0,75,25,25,0,0,0,75,50,0,0,50,0,0,0,0,50,0,0,0,75,0,0
"2020-03-08",0,25,25,25,0,75,50,0,75,25,25,0,0,0,75,50,0,0,50,0,0,0,0,50,0,0,0,75,0,0
"2020-03-09",75,25,25,25,0,75,50,0,75,25,25,0,75,0,75,50,0,0,50,0,0,25,0,75,50,0,0,75,0,0
"2020-03-10",75,25,25,25,0,75,50,0,75,25,25,0,75,0,75,50,0,0,75,0,0,25,75,75,50,75,75,75,0,0
"2020-03-11",75,25,25,25,0,75,75,0,75,25,25,0,75,0,75,50,0,0,75,0,0,25,75,75,50,75,75,75,0,0
"2020-03-12",75,25,25,25,0,75,75,25,75,25,25,0,75,0,75,50,0,0,75,0,0,25,75,75,50,75,75,75,0,0
"2020-03-13",75,25,25,25,50,75,75,25,75,25,25,0,75,0,75,50,50,0,75,75,0,25,75,75,100,75,75,75,75,0
"2020-03-14",75,25,25,25,50,75,100,25,75,25,25,75,75,0,75,50,50,0,75,75,50,25,75,75,100,75,75,75,75,0
"2020-03-15",75,25,25,50,100,75,100,25,75,25,25,75,75,0,75,50,50,0,75,75,100,100,75,75,100,75,75,75,75,0
"2020-03-16",75,25,25,50,100,100,100,25,100,25,75,75,100,0,75,50,100,0,75,75,100,100,75,75,100,75,75,75,75,0
"2020-03-17",75,25,75,50,100,100,100,75,100,75,75,75,100,0,75,100,100,0,75,75,100,100,75,75,100,75,100,75,75,0
"2020-03-18",75,25,75,50,100,100,100,75,100,75,100,75,100,0,75,100,100,0,75,75,100,100,75,75,100,75,100,75,75,0
"2020-03-19",75,25,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,75,75,100,100,75,75,100,75,100,75,75,0
"2020-03-20",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,75,75,100,100,75,75,100,75,100,75,75,0
"2020-03-21",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-03-22",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-03-23",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-03-24",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-03-25",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-03-26",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-03-27",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-03-28",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-03-29",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-03-30",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-03-31",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-01",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-02",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-03",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-04",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-05",75,100,75,100,100,100,100,75,100,75,100,75,100,0,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-06",75,100,75,100,100,100,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-07",75,100,75,100,100,100,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-08",75,100,75,100,100,100,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-09",75,100,75,100,100,100,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-10",75,100,75,100,100,100,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-11",75,100,75,100,100,100,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-12",75,100,75,100,100,100,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-13",75,100,75,100,100,100,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-14",75,100,75,100,100,50,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-15",75,100,75,100,100,50,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-16",75,100,75,100,100,50,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-17",75,100,75,100,100,50,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-18",75,100,75,100,100,50,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-19",75,100,75,100,100,50,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-20",75,100,75,100,100,50,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-21",75,100,75,100,100,50,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-22",75,100,75,100,100,50,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
"2020-04-23",75,100,75,100,100,50,100,75,100,75,100,75,100,50,75,100,100,0,100,75,100,100,75,100,100,75,100,75,75,0
