"Date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czech.Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Romania","Slovak.Republic","Slovenia","Spain","Sweden","Switzerland","United.Kingdom"
2020-01-01,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-02,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-03,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-04,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-05,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-06,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-07,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-08,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-09,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-10,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-13,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-15,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-17,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-18,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-19,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-20,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.56"
2020-01-21,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.56"
2020-01-22,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.56"
2020-01-23,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.78","0.00","0.00","0.00","0.00","2.78","0.00","0.00","0.00","0.00","0.00","0.00","5.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.56"
2020-01-24,"0.00","0.00","0.00","0.00","0.00","5.56","0.00","0.00","0.00","5.56","5.56","0.00","0.00","0.00","2.78","0.00","0.00","0.00","0.00","0.00","0.00","5.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.56"
2020-01-25,"0.00","0.00","0.00","0.00","0.00","5.56","0.00","0.00","0.00","5.56","5.56","0.00","0.00","0.00","2.78","0.00","0.00","0.00","5.56","0.00","0.00","5.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.56"
2020-01-26,"0.00","0.00","0.00","0.00","0.00","5.56","0.00","0.00","0.00","5.56","5.56","0.00","0.00","0.00","2.78","0.00","0.00","0.00","5.56","0.00","0.00","5.56","5.56","0.00","0.00","0.00","0.00","0.00","0.00","5.56"
2020-01-27," 0.00"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 0.00"," 0.00"," 5.56"," 5.56"," 5.56"," 0.00"," 0.00"," 0.00"," 2.78"," 0.00"," 0.00"," 0.00"," 5.56"," 0.00"," 0.00"," 5.56"," 5.56"," 2.78"," 2.78"," 0.00"," 0.00"," 0.00"," 0.00"," 5.56"
2020-01-28," 0.00"," 5.56"," 0.00"," 5.56"," 0.00","11.11"," 0.00"," 0.00"," 5.56"," 5.56"," 5.56"," 0.00"," 0.00"," 0.00"," 2.78"," 0.00"," 0.00"," 0.00"," 5.56"," 0.00"," 0.00"," 5.56"," 5.56"," 2.78"," 2.78"," 0.00"," 0.00"," 0.00"," 0.00"," 5.56"
2020-01-29," 0.00"," 5.56"," 0.00"," 5.56"," 0.00","11.11"," 0.00"," 0.00"," 5.56"," 5.56"," 5.56"," 0.00"," 0.00"," 0.00"," 2.78"," 0.00"," 0.00"," 0.00"," 5.56"," 0.00"," 0.00"," 5.56"," 5.56"," 2.78"," 2.78"," 0.00"," 0.00"," 0.00"," 0.00"," 5.56"
2020-01-30," 0.00"," 5.56"," 0.00"," 5.56"," 0.00","16.67"," 0.00"," 0.00"," 5.56"," 5.56"," 5.56"," 0.00"," 0.00"," 0.00"," 8.33"," 0.00"," 0.00"," 0.00"," 5.56"," 0.00"," 0.00"," 5.56"," 5.56"," 2.78"," 2.78"," 0.00"," 0.00"," 0.00"," 0.00"," 5.56"
2020-01-31," 0.00","11.11"," 0.00","11.11"," 0.00","16.67"," 0.00"," 0.00"," 5.56"," 5.56"," 5.56"," 0.00"," 0.00"," 0.00","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 2.78"," 2.78"," 0.00","11.11"," 0.00"," 0.00"," 8.33"
2020-02-01," 0.00","11.11"," 0.00","11.11"," 0.00","16.67"," 0.00"," 0.00"," 5.56"," 5.56"," 5.56"," 0.00"," 0.00"," 0.00","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00"," 8.33"
2020-02-02," 0.00","11.11"," 0.00","11.11"," 0.00","16.67"," 0.00"," 0.00"," 5.56"," 5.56"," 5.56"," 0.00"," 0.00"," 0.00","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-03," 0.00","11.11"," 2.78","11.11"," 0.00","16.67"," 0.00"," 0.00"," 5.56"," 5.56"," 5.56"," 0.00"," 0.00"," 0.00","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-04," 0.00","11.11"," 2.78","13.89"," 0.00","16.67"," 0.00"," 0.00"," 5.56"," 5.56"," 5.56"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-05," 0.00","11.11"," 2.78","13.89"," 0.00","16.67"," 0.00"," 0.00"," 5.56"," 5.56"," 5.56"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-06," 0.00","11.11"," 2.78","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56"," 5.56"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-07," 0.00","11.11"," 2.78","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56"," 5.56"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-08," 0.00","11.11"," 2.78","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56"," 5.56"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-09," 0.00","11.11"," 2.78","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56"," 5.56"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-10," 0.00","11.11"," 2.78","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56"," 5.56"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-11," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56"," 5.56"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-12," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-13," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-14," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-15," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-16," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-17," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-18," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-19," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-20," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","19.44"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-21," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","27.78"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-22," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","37.04"," 2.78"," 0.00"," 0.00"," 5.56"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-23," 0.00","11.11"," 8.33","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","64.35"," 2.78"," 0.00"," 0.00"," 8.33"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-24,"11.11","11.11","13.89","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89"," 5.56","11.11"," 0.00"," 0.00"," 5.56","64.35"," 2.78"," 0.00"," 0.00"," 8.33"," 0.00","11.11"," 5.56"," 5.56"," 5.56"," 2.78"," 0.00","11.11"," 5.56"," 0.00","11.11"
2020-02-25,"11.11","11.11","13.89","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89","13.89","11.11","11.11"," 0.00"," 5.56","64.35"," 2.78"," 0.00"," 0.00","11.11"," 0.00","11.11"," 5.56"," 5.56","16.67"," 2.78"," 0.00","11.11"," 5.56"," 8.33","11.11"
2020-02-26,"11.11","11.11","13.89","13.89"," 0.00","16.67"," 0.00"," 0.00","13.89","13.89","16.67","11.11"," 0.00"," 5.56","64.35"," 2.78"," 5.56"," 0.00","11.11"," 0.00","11.11"," 5.56"," 5.56","16.67"," 2.78"," 0.00","11.11"," 5.56"," 8.33","11.11"
2020-02-27,"11.11","11.11","13.89","13.89"," 0.00","16.67","11.11"," 0.00","19.44","13.89","16.67","11.11"," 0.00"," 5.56","64.35"," 8.33"," 5.56"," 0.00","11.11"," 5.56","11.11","11.11"," 5.56","16.67"," 2.78"," 0.00","11.11"," 5.56","13.89","11.11"
