"Date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","United.Kingdom"
1,6.13473047653919,7.74225023986273,3.61969145676666,2.47567640134015,3.70191082082017,5.66509685142453,9.57901300116821,2.36720472113444,2.8720996032788,8.40721120302304,6.54741183049467,5.69477790742709,4.32786475210465,6.10089694149207,5.86138303251928,4.55227579513946,6.63479367075471,6.34676693426783,4.07480776727014,9.58675762842775,8.16128680893408,8.41634311803855,7.0038414677135,4.31711245483898,6.99473724907627,5.15849959535712,8.43932942223374,9.73253352721842,8.55184147000961,3.97883243890815
2,5.66493000807349,5.70855021569329,3.0280487185103,2.05390445554745,2.78848500761327,5.35581565121759,8.21447070801033,1.8307008750513,2.44963284486038,6.82108037403006,5.5574108605751,5.37174034877315,3.81708949694721,5.99258697421085,4.84671715574306,3.97539603890727,4.36532410472641,5.24567661446932,3.28043339981683,7.04672125890691,6.66384368830286,6.67825536374291,6.36569827993723,3.85811388051142,5.40287596393068,3.46533106486874,7.55295673519574,7.86427320053558,6.71471087242286,3.75183193545621
3,5.26355055202489,4.46725913792452,2.6220166341342,1.81619663922375,2.21136286829622,5.10291487828934,6.62989154407425,1.51149955818914,2.13564437203962,5.57962952786214,4.7897265481515,5.0616370191291,3.43609968632474,5.95750718861857,4.07494098009982,3.48086858632064,3.04000745083508,4.21182009005618,2.63406467916428,5.30931230129067,5.51447492838224,5.35778390991688,5.87207022739582,3.44362413433399,4.11424881051623,2.38376235255538,6.90586149832159,6.22808384295543,5.41205376122059,3.60644992480242
4,4.94510513694587,3.69991215129035,2.31243402547089,1.73115258279852,1.85987268965019,4.85951148623065,5.03270050418709,1.34288971710564,1.91511359463994,4.60144379764045,4.2094179627463,4.74409054770471,3.16721125797707,5.82784342895735,3.50755171892278,3.04898282401212,2.25300514404708,3.31648755872275,2.1266282328539,4.168507043112,4.63551272613423,4.38305664746577,5.43457336406369,3.10873236305602,3.13168548623719,1.73200614297691,6.40506062194464,4.89023336606015,4.51749695157468,3.53653982415694
5,4.70633703305913,3.20708154894367,2.04505597172662,1.77761099861532,1.6503967037079,4.57997311410391,3.64260947876115,1.27404967748832,1.75875087357615,3.82785724921687,3.785451988543,4.38813375840936,2.97668049453001,5.536004229652,3.09746546197767,2.67371753198864,1.76402237308047,2.60440829827814,1.73246713614168,3.43034875818169,3.9508218293621,3.67298190684028,5.00781434441205,2.85846486223483,2.42686633166659,1.36440494487308,5.95102833262809,3.83767157919298,3.92388298289394,3.50221914232386
6,4.51213727224899,2.87463054526757,1.81853072984822,1.95062426962906,1.53169413281687,4.25468401550728,2.59375334662987,1.27101796185785,1.63564505182228,3.22672744379692,3.49460524173533,4.0300191203145,2.83755375572449,5.13845716015191,2.80345482629254,2.34528710467618,1.44098787772718,2.06788828964819,1.43128124270732,2.95670792034461,3.37825067793964,3.1713426408408,4.59196030136202,2.68129232713397,1.9433521604892,1.18255927344213,5.47740890307926,3.02397497833589,3.53074430585201,3.45516341846356
7,4.33160229050933,2.63754535125647,1.63198919188283,2.24821992299899,1.47163800726979,3.90110709847672,1.90181335205892,1.30827255817652,1.52901198218597,2.77115641440074,3.30091528976394,3.72043690353061,2.73310546244272,4.73590594721385,2.5940184607325,2.0667150496511,1.21561317318604,1.6726666122182,1.20264932305436,2.65200641534832,2.87505445338354,2.83086346264843,4.19261187444696,2.578829193475,1.61753619598193,1.11927421394283,4.97154783089397,2.40286354187976,3.26909734856454,3.35977197119716
8,4.13521164695259,2.46838349847083,1.47537810846067,2.64928399282315,1.45271345207304,3.51715357838438,1.48591007212177,1.35923272310477,1.43466370379652,2.43483486290912,3.15969303456514,3.43612504987214,2.64655319899623,4.37286103609331,2.43758689143363,1.84198951411648,1.05052678445914,1.38505632356432,1.03366499715106,2.45452849102298,2.43410292209852,2.59448530463402,3.81532031925512,2.54673267216381,1.40138739355429,1.12755350470783,4.43691641688145,1.93705820460365,3.08032415537197,3.2018934212705
9,3.8999896060261,2.35455866931675,1.35176281604503,3.09749598099846,1.46558739089128,3.13783314263698,1.25461030926573,1.39787372603147,1.35187472459704,2.19620156190873,3.04249500569404,3.12616172592711,2.55483455438922,4.04808315364371,2.31439293300614,1.66447115277782,0.926132826511721,1.17742706623593,0.916967483059632,2.32525698407113,2.05644504040999,2.42132804554976,3.47178666104264,2.55827123644295,1.26146210734978,1.17633451263663,3.9129714596551,1.60236152781108,2.92434624413926,3.00020619255855
10,3.62591253817791,2.2807119524203,1.25864214490262,3.519310667037,1.50419204626791,2.78309688116084,1.14155014545187,1.40419299661945,1.28187165580726,2.04054567483842,2.93311438004234,2.79600843447436,2.44861240932941,3.73714635851118,2.21526056697639,1.5259444475356,0.835114930071551,1.0251572108931,0.843599355721356,2.23900767447702,1.75684261283505,2.28937756434716,3.16552330068505,2.58908361402408,1.18112466482573,1.2382389174064,3.4466523729864,1.3801948092058,2.77665501301758,2.79543552956831
