"Country","Start","End"
"Austria",2020-03-06,2020-05-04
"Belgium",2020-03-09,2020-05-07
"Bulgaria",2020-03-16,2020-05-14
"Croatia",2020-03-03,2020-05-01
"Cyprus",2020-03-18,2020-05-16
"Czechia",2020-03-10,2020-05-08
"Denmark",2020-03-08,2020-05-06
"Estonia",2020-03-17,2020-05-15
"Finland",2020-03-14,2020-05-12
"France",2020-03-04,2020-05-02
"Germany",2020-03-05,2020-05-03
"Greece",2020-03-04,2020-05-02
"Hungary",2020-03-12,2020-05-10
"Ireland",2020-03-09,2020-05-07
"Italy",2020-02-29,2020-04-28
"Latvia",2020-03-15,2020-05-13
"Lithuania",2020-03-27,2020-05-25
"Luxembourg",2020-03-18,2020-05-16
"Malta",2020-03-16,2020-05-14
"Netherlands",2020-03-06,2020-05-04
"Norway",2020-03-04,2020-05-02
"Poland",2020-03-12,2020-05-10
"Portugal",2020-03-10,2020-05-08
"Romania",2020-03-12,2020-05-10
"Slovakia",2020-03-14,2020-05-12
"Slovenia",2020-03-13,2020-05-11
"Spain",2020-03-05,2020-05-03
"Sweden",2020-03-05,2020-05-03
"Switzerland",2020-03-04,2020-05-02
"United.Kingdom",2020-03-06,2020-05-04
