"Date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","United.Kingdom"
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,1,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-02-01,0,0,0,0,0,0,0,0,1,6,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
2020-02-02,0,0,0,0,0,0,0,0,1,6,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
2020-02-03,0,0,0,0,0,0,0,0,1,6,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8
2020-02-04,0,1,0,0,0,0,0,0,1,6,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8
2020-02-05,0,1,0,0,0,0,0,0,1,6,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9
2020-02-06,0,1,0,0,0,0,0,0,1,6,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9
2020-02-07,0,1,0,0,0,0,0,0,1,6,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9
2020-02-08,0,1,0,0,0,0,0,0,1,11,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13
2020-02-09,0,1,0,0,0,0,0,0,1,11,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,14
2020-02-10,0,1,0,0,0,0,0,0,1,11,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,14
2020-02-11,0,1,0,0,0,0,0,0,2,11,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,15
2020-02-12,0,1,0,0,0,0,0,0,2,11,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,16
2020-02-13,0,1,0,0,0,0,0,0,2,11,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,17
2020-02-14,0,1,0,0,0,0,0,0,2,11,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,18
2020-02-15,0,1,0,0,0,0,0,0,2,12,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,18
2020-02-16,0,1,0,0,0,0,0,0,2,12,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,18
2020-02-17,0,1,0,0,0,0,0,0,2,12,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,19
2020-02-18,0,1,0,0,0,0,0,0,2,12,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,19
2020-02-19,0,1,0,0,0,0,0,0,2,12,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,20
2020-02-20,0,1,0,0,0,0,0,0,2,12,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22
2020-02-21,0,1,0,0,0,0,0,0,2,12,16,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,1,0,23
2020-02-22,0,1,0,0,0,0,0,0,2,12,16,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,2,1,0,23
2020-02-23,0,1,0,0,0,0,0,0,3,12,16,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,2,1,0,28
2020-02-24,0,1,0,0,0,0,0,0,3,12,16,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,2,1,0,30
2020-02-25,2,1,0,1,0,0,0,0,3,14,16,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,6,1,1,34
2020-02-26,1,1,0,3,0,0,0,0,4,18,21,1,0,0,453,0,0,0,0,0,1,0,0,1,0,0,13,2,1,37
2020-02-27,1,1,0,3,0,0,1,1,4,38,26,3,0,0,655,0,0,0,0,1,1,0,0,1,0,0,15,3,8,44
2020-02-28,1,1,0,5,0,0,1,1,5,57,53,4,0,0,888,0,0,0,0,6,6,0,0,3,0,0,32,11,8,56
2020-02-29,3,1,0,6,0,0,3,1,8,100,66,4,0,1,1128,0,0,1,0,10,15,0,0,3,0,0,45,14,18,61
2020-03-01,7,2,0,7,0,3,4,1,9,130,117,7,0,1,1694,0,0,1,0,18,19,0,0,3,0,0,84,14,27,94
2020-03-02,8,8,0,7,0,3,4,1,10,191,150,7,0,1,2036,1,0,1,0,24,25,0,2,3,0,0,120,19,42,134
2020-03-03,12,13,0,9,0,5,6,2,10,212,188,7,0,2,2502,1,0,1,0,38,32,0,2,3,0,0,165,32,56,189
2020-03-04,17,23,0,10,0,8,10,2,14,285,240,9,2,6,3089,1,0,1,0,82,56,1,5,4,0,0,222,62,90,245
2020-03-05,23,50,0,10,0,12,10,3,20,423,349,31,2,6,3858,1,0,1,0,128,87,1,8,6,0,2,259,87,114,294
2020-03-06,37,109,0,11,0,18,23,10,21,613,534,45,2,18,4636,1,0,2,0,188,108,5,13,9,1,7,400,146,214,373
2020-03-07,46,169,0,12,0,19,23,10,28,938,684,46,4,18,5883,1,0,2,3,265,147,5,20,9,1,7,500,179,268,428
2020-03-08,75,200,4,12,0,31,35,10,35,1115,847,73,7,19,7375,2,0,3,3,321,176,11,30,15,3,16,673,225,337,482
2020-03-09,98,239,4,12,0,31,90,10,44,1401,1112,73,9,21,9172,6,0,3,3,382,205,16,30,15,5,16,1073,326,374,629
2020-03-10,126,267,4,14,2,41,262,12,61,1773,1296,89,9,34,10149,8,0,5,5,503,400,22,41,25,7,31,1695,424,491,887
2020-03-11,148,314,7,19,2,91,442,16,115,2281,1567,99,13,43,12462,10,0,7,6,603,598,31,59,45,7,57,2277,620,652,1298
2020-03-12,203,314,7,19,6,94,615,16,191,2281,2369,99,13,43,15113,10,0,19,6,804,702,49,59,49,10,89,2277,771,652,1787
2020-03-13,312,559,23,32,6,141,801,79,251,3661,3062,190,19,90,17660,17,0,34,12,959,996,68,112,89,21,141,5232,923,1139,2266
2020-03-14,409,689,41,38,14,189,827,115,279,4469,3795,228,30,129,21157,26,0,51,18,1135,1090,103,169,123,32,181,6391,994,1359,2630
2020-03-15,591,886,51,49,21,253,864,171,308,4499,4838,331,32,129,24747,30,0,59,21,1413,1221,119,245,131,44,219,7798,1063,2200,3072
2020-03-16,801,1058,52,57,30,298,914,205,361,6633,6012,331,39,169,27980,34,0,77,30,1705,1333,177,331,158,61,253,9942,1146,2200,3684
2020-03-17,999,1243,67,65,40,396,977,225,413,7652,7156,387,50,223,31506,49,0,140,38,2051,1463,238,448,184,72,275,11748,1265,2700,4452
2020-03-18,1225,1486,92,81,40,464,1057,258,460,9043,8198,418,58,292,35713,71,0,203,38,2460,1550,251,448,260,96,275,13910,1410,3028,5451
2020-03-19,1571,1795,94,105,58,694,1151,267,550,10871,10999,418,73,557,41035,86,1,335,53,2994,1746,355,785,277,104,286,17963,1553,4075,6506
2020-03-20,1943,2257,127,128,58,833,1255,283,649,12612,13957,495,85,683,47021,111,1,484,64,3631,1914,425,1020,308,123,341,20410,1733,5294,7760
2020-03-21,2398,2815,163,206,67,995,1326,306,736,14282,16662,530,103,785,53578,124,7,670,73,4204,2118,536,1280,367,137,383,25374,1868,6575,8957
2020-03-22,2909,3401,187,254,84,1120,1395,326,823,16533,18610,624,131,906,59138,139,44,798,90,4749,2385,634,1600,433,178,414,28768,1986,7474,10333
2020-03-23,3455,3743,201,315,95,1236,1450,352,901,19856,22672,695,167,1125,63927,180,58,875,107,5560,2621,749,2060,576,185,442,35136,2168,8795,12668
2020-03-24,4073,4269,218,382,116,1394,1591,369,985,22054,27436,743,187,1329,69176,197,88,1099,110,6412,2863,901,2362,794,204,480,39885,2398,9877,15039
2020-03-25,4760,4937,242,442,124,1654,1724,404,1084,24967,31554,835,226,1564,74386,221,112,1333,129,7431,3084,1051,2995,906,216,528,49515,2712,10897,17732
2020-03-26,5483,6235,264,495,132,1925,1877,538,1188,28856,36508,835,261,1819,80589,244,167,1453,134,8603,3369,1221,3544,1029,226,562,57786,2998,11811,20816
2020-03-27,6237,7284,293,586,146,2279,2046,575,1301,32609,42288,835,300,2121,86498,280,183,1605,139,9762,3755,1389,4268,1292,269,632,65719,3363,12928,24017
2020-03-28,7293,9134,331,657,162,2631,2201,645,1396,37162,48582,835,343,2415,92472,305,227,1831,149,10866,4015,1638,5170,1452,292,684,73235,3663,14076,26839
