"Date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","United.Kingdom"
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-02-01,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-02-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-02-09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-02-25,2,0,0,1,0,0,0,0,0,2,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4
2020-02-26,-1,0,0,2,0,0,0,0,1,4,5,1,0,0,131,0,0,0,0,0,1,0,0,1,0,0,7,1,0,3
2020-02-27,0,0,0,0,0,0,1,1,0,20,5,2,0,0,202,0,0,0,0,1,0,0,0,0,0,0,2,1,7,7
2020-02-28,0,0,0,2,0,0,0,0,1,19,27,1,0,0,233,0,0,0,0,5,5,0,0,2,0,0,17,8,0,12
2020-02-29,2,0,0,1,0,0,2,0,3,43,13,0,0,1,240,0,0,1,0,4,9,0,0,0,0,0,13,3,10,5
2020-03-01,4,1,0,1,0,3,1,0,1,30,51,3,0,0,566,0,0,0,0,8,4,0,0,0,0,0,39,0,9,33
2020-03-02,1,6,0,0,0,0,0,0,1,61,33,0,0,0,342,1,0,0,0,6,6,0,2,0,0,0,36,5,15,40
2020-03-03,4,5,0,2,0,2,2,1,0,21,38,0,0,1,466,0,0,0,0,14,7,0,0,0,0,0,45,13,14,55
2020-03-04,5,10,0,1,0,3,4,0,4,73,52,2,2,4,587,0,0,0,0,44,24,1,3,1,0,0,57,30,34,56
2020-03-05,6,27,0,0,0,4,0,1,6,138,109,22,0,0,769,0,0,0,0,46,31,0,3,2,0,2,37,25,24,49
2020-03-06,14,59,0,1,0,6,13,7,1,190,185,14,0,12,778,0,0,1,0,60,21,4,5,3,1,5,141,59,100,79
2020-03-07,9,60,0,1,0,1,0,0,7,325,150,1,2,0,1247,0,0,0,3,77,39,0,7,0,0,0,100,33,54,55
2020-03-08,29,31,4,0,0,12,12,0,7,177,163,27,3,1,1492,1,0,1,0,56,29,6,10,6,2,9,173,46,69,54
2020-03-09,23,39,0,0,0,0,55,0,9,286,265,0,2,2,1797,4,0,0,0,61,29,5,0,0,2,0,400,101,37,147
2020-03-10,28,28,0,2,2,10,172,2,17,372,184,16,0,13,977,2,0,2,2,121,195,6,11,10,2,15,622,98,117,258
2020-03-11,22,47,3,5,0,50,180,4,54,508,271,10,4,9,2313,2,0,2,1,100,198,9,18,20,0,26,582,196,161,411
2020-03-12,55,0,0,0,4,3,173,0,76,0,802,0,0,0,2651,0,0,12,0,201,104,18,0,4,3,32,0,151,0,489
2020-03-13,109,245,16,13,0,47,186,63,60,1380,693,91,6,47,2547,7,0,15,6,155,294,19,53,40,11,52,2955,152,487,479
2020-03-14,97,130,18,6,8,48,26,36,28,808,733,38,11,39,3497,9,0,17,6,176,94,35,57,34,11,40,1159,71,220,364
2020-03-15,182,197,10,11,7,64,37,56,29,30,1043,103,2,0,3590,4,0,8,3,278,131,16,76,8,12,38,1407,69,841,442
2020-03-16,210,172,1,8,9,45,50,34,53,2134,1174,0,7,40,3233,4,0,18,9,292,112,58,86,27,17,34,2144,83,0,612
2020-03-17,198,185,15,8,10,98,63,20,52,1019,1144,56,11,54,3526,15,0,63,8,346,130,61,117,26,11,22,1806,119,500,768
2020-03-18,226,243,25,16,0,68,80,33,47,1391,1042,31,8,69,4207,22,0,63,0,409,87,13,0,76,24,0,2162,145,328,999
2020-03-19,346,309,2,24,18,230,94,9,90,1828,2801,0,15,265,5322,15,1,132,15,534,196,104,337,17,8,11,4053,143,1047,1055
